Page,Impressions,Clicks,CTR,Avg. position
http://propertymap.info/project/ATS-Advantage-Phase-2-Indirapuram-Ghaziabad,500,16,4%,7.6
http://propertymap.info/project/Paramount-Mapple-Crossing-Republic-Ghaziabad,200,16,8%,3.3
http://propertymap.info/,90,16,17%,4.5
http://propertymap.info/project/Shipra-Krishna-Vista--Indirapuram-Ghaziabad,170,12,7%,6.0
http://propertymap.info/project/Red-Apple-Residency-Rajnagar-Extn-Ghaziabad,500,<10,-,7.1
http://propertymap.info/project/Amrapali-Royal-Indirapuram-Ghaziabad,500,<10,-,8.9
http://propertymap.info/project/Ajnara-Gen-X-Crossing-Republic-Ghaziabad,400,<10,-,9.0
http://propertymap.info/project/Amrapali-Verona-Heights-Noida-Extension-Noida,400,<10,-,27
http://propertymap.info/project/Wave-Aranyam-Valley-NH-24-Ghaziabad,320,<10,-,21
http://propertymap.info/project/wave-aranyam-valley-nh-24-ghaziabad,320,<10,-,16
http://propertymap.info/project/bptp-visionnaire-homes-golf-course-extn-road-gurgaon,320,<10,-,2.4
http://propertymap.info/project/Amrapali-Sapphire-Sector-45-Noida,250,<10,-,20
http://propertymap.info/project/Galaxy-North-Avenue-2-Noida-Extension-Noida,250,<10,-,8.9
http://propertymap.info/project/Assotech-The-Nest-Crossing-Republic-Ghaziabad,250,<10,-,11
http://propertymap.info/project/paras-tierea-noida-expressway-noida,200,<10,-,30
http://propertymap.info/project/ats-advantage-indirapuram-ghaziabad,200,<10,-,9.4
http://propertymap.info/project/great-value-sharanam-sector-107-noida,200,<10,-,7.4
http://propertymap.info/project/Supertech-Cape-Town-Sector-74-Noida,200,<10,-,34
http://propertymap.info/project/Jaypee-Greens-Spa-Court-Pari-Chowk-Greater-Noida,200,<10,-,1.9
http://propertymap.info/project/Sikka-Karnam-Greens-Noida-Expressway-Noida,200,<10,-,17
http://propertymap.info/project/mehak-residency-indirapuram-ghaziabad,170,<10,-,5.9
